Origem,Destino,Taxa_ICMS
AC,AC,19
AC,AL,12
AC,AM,12
AC,AP,12
AC,BA,12
AC,CE,12
AC,DF,12
AC,ES,12
AC,GO,12
AC,MA,12
AC,MG,12
AC,MS,12
AC,MT,12
AC,PA,12
AC,PB,12
AC,PE,12
AC,PI,12
AC,PR,12
AC,RJ,12
AC,RN,12
AC,RO,12
AC,RR,12
AC,RS,12
AC,SC,12
AC,SE,12
AC,SP,12
AC,TO,12
AL,AC,12
AL,AL,19
AL,AM,12
AL,AP,12
AL,BA,12
AL,CE,12
AL,DF,12
AL,ES,12
AL,GO,12
AL,MA,12
AL,MG,12
AL,MS,12
AL,MT,12
AL,PA,12
AL,PB,12
AL,PE,12
AL,PI,12
AL,PR,12
AL,RJ,12
AL,RN,12
AL,RO,12
AL,RR,12
AL,RS,12
AL,SC,12
AL,SE,12
AL,SP,12
AL,TO,12
AM,AC,12
AM,AL,12
AM,AM,20
AM,AP,12
AM,BA,12
AM,CE,12
AM,DF,12
AM,ES,12
AM,GO,12
AM,MA,12
AM,MG,12
AM,MS,12
AM,MT,12
AM,PA,12
AM,PB,12
AM,PE,12
AM,PI,12
AM,PR,12
AM,RJ,12
AM,RN,12
AM,RO,12
AM,RR,12
AM,RS,12
AM,SC,12
AM,SE,12
AM,SP,12
AM,TO,12
AP,AC,12
AP,AL,12
AP,AM,12
AP,AP,18
AP,BA,12
AP,CE,12
AP,DF,12
AP,ES,12
AP,GO,12
AP,MA,12
AP,MG,12
AP,MS,12
AP,MT,12
AP,PA,12
AP,PB,12
AP,PE,12
AP,PI,12
AP,PR,12
AP,RJ,12
AP,RN,12
AP,RO,12
AP,RR,12
AP,RS,12
AP,SC,12
AP,SE,12
AP,SP,12
AP,TO,12
BA,AC,12
BA,AL,12
BA,AM,12
BA,AP,12
BA,BA,20.5
BA,CE,12
BA,DF,12
BA,ES,12
BA,GO,12
BA,MA,12
BA,MG,12
BA,MS,12
BA,MT,12
BA,PA,12
BA,PB,12
BA,PE,12
BA,PI,12
BA,PR,12
BA,RJ,12
BA,RN,12
BA,RO,12
BA,RR,12
BA,RS,12
BA,SC,12
BA,SE,12
BA,SP,12
BA,TO,12
CE,AC,12
CE,AL,12
CE,AM,12
CE,AP,12
CE,BA,12
CE,CE,20
CE,DF,12
CE,ES,12
CE,GO,12
CE,MA,12
CE,MG,12
CE,MS,12
CE,MT,12
CE,PA,12
CE,PB,12
CE,PE,12
CE,PI,12
CE,PR,12
CE,RJ,12
CE,RN,12
CE,RO,12
CE,RR,12
CE,RS,12
CE,SC,12
CE,SE,12
CE,SP,12
CE,TO,12
DF,AC,12
DF,AL,12
DF,AM,12
DF,AP,12
DF,BA,12
DF,CE,12
DF,DF,20
DF,ES,12
DF,GO,12
DF,MA,12
DF,MG,12
DF,MS,12
DF,MT,12
DF,PA,12
DF,PB,12
DF,PE,12
DF,PI,12
DF,PR,12
DF,RJ,12
DF,RN,12
DF,RO,12
DF,RR,12
DF,RS,12
DF,SC,12
DF,SE,12
DF,SP,12
DF,TO,12
ES,AC,12
ES,AL,12
ES,AM,12
ES,AP,12
ES,BA,12
ES,CE,12
ES,DF,12
ES,ES,17
ES,GO,12
ES,MA,12
ES,MG,12
ES,MS,12
